namelsad,sumlev,geocode,state,placefp,pop2020,hu2020
Ronda town,160,3757700,37,57700,438,194
Roper town,160,3757740,37,57740,485,263
Roseboro town,160,3757800,37,57800,1163,575
Rose Hill town,160,3757860,37,57860,1371,654
Rosman town,160,3758020,37,58020,701,283
Rougemont CDP,160,3758040,37,58040,1001,454
Rowland town,160,3758140,37,58140,885,465
Roxboro city,160,3758160,37,58160,8134,3937
Roxobel town,160,3758180,37,58180,187,105
Royal Pines CDP,160,3758260,37,58260,4127,1900
Ruffin CDP,160,3758340,37,58340,322,160
Rural Hall town,160,3758360,37,58360,3351,1556
Ruth town,160,3758420,37,58420,347,163
Rutherford College town,160,3758440,37,58440,1226,582
Rutherfordton town,160,3758460,37,58460,3640,1816
St. Helena village,160,3758620,37,58620,417,171
St. James town,160,3758630,37,58630,6529,4163
St. Pauls town,160,3758720,37,58720,2045,955
St. Stephens CDP,160,3758730,37,58730,8852,3731
Salem CDP,160,3758740,37,58740,2356,1045
Salemburg town,160,3758840,37,58840,457,223
Salisbury city,160,3758860,37,58860,35540,15095
Saluda city,160,3758920,37,58920,631,474
Salvo CDP,160,3758940,37,58940,303,629
Sandy Creek town,160,3759090,37,59090,248,104
Sandyfield town,160,3759135,37,59135,430,176
Sanford city,160,3759280,37,59280,30261,12428
Saratoga town,160,3759340,37,59340,353,191
Sawmills town,160,3759540,37,59540,5020,2226
Saxapahaw CDP,160,3759580,37,59580,1671,795
Scotch Meadows CDP,160,3759765,37,59765,568,204
Scotland Neck town,160,3759780,37,59780,1640,928
Seaboard town,160,3759980,37,59980,542,328
Sea Breeze CDP,160,3760000,37,60000,2245,1113
Seagrove town,160,3760080,37,60080,235,120
Sedalia town,160,3760180,37,60180,676,303
Selma town,160,3760320,37,60320,6317,2643
Seven Devils town,160,3760505,37,60505,313,573
Seven Lakes CDP,160,3760515,37,60515,4900,2658
Seven Springs town,160,3760540,37,60540,55,37
Severn town,160,3760560,37,60560,191,108
Shallotte town,160,3760800,37,60800,4185,1946
Shannon CDP,160,3760940,37,60940,217,76
Sharpsburg town,160,3761060,37,61060,1697,858
Shelby city,160,3761200,37,61200,21918,10089
Siler City town,160,3761860,37,61860,7702,2918
Silver City CDP,160,3761920,37,61920,643,376
Silver Lake CDP,160,3761950,37,61950,6500,2692
Simpson village,160,3762040,37,62040,390,196
Sims town,160,3762060,37,62060,275,129
Skippers Corner CDP,160,3762190,37,62190,2912,1249
Smithfield town,160,3762520,37,62520,11292,4940
Smithtown CDP,160,3762580,37,62580,224,100
Sneads Ferry CDP,160,3762680,37,62680,2548,1680
Snow Hill town,160,3762760,37,62760,1481,775
Southern Pines town,160,3763120,37,63120,15545,8364
Southern Shores town,160,3763130,37,63130,3090,2506
South Henderson CDP,160,3763240,37,63240,988,458
South Mills CDP,160,3763340,37,63340,362,179
Southmont CDP,160,3763360,37,63360,1563,802
Southport city,160,3763400,37,63400,3971,2332
South Rosemary CDP,160,3763470,37,63470,2753,1356
South Weldon CDP,160,3763560,37,63560,550,264
Sparta town,160,3763680,37,63680,1834,920
Speed town,160,3763720,37,63720,63,33
Spencer town,160,3763760,37,63760,3308,1473
Spencer Mountain town,160,3763780,37,63780,0,0
Spindale town,160,3763880,37,63880,4225,1957
Spivey's Corner CDP,160,3763920,37,63920,576,209
Spout Springs CDP,160,3764000,37,64000,11040,3819
Springdale CDP,160,3764050,37,64050,1203,546
Spring Hope town,160,3764160,37,64160,1309,719
Spring Lake town,160,3764180,37,64180,11660,5359
Spruce Pine town,160,3764260,37,64260,2194,1064
Staley town,160,3764380,37,64380,397,168
Stallings town,160,3764420,37,64420,16112,6122
Stanfield town,160,3764460,37,64460,1585,611
Stanley town,160,3764500,37,64500,3963,1687
Stantonsburg town,160,3764560,37,64560,762,377
Star town,160,3764580,37,64580,806,355
Statesville city,160,3764740,37,64740,28419,12435
Stedman town,160,3764840,37,64840,1277,531
Stem town,160,3764940,37,64940,960,389
Stokes CDP,160,3765020,37,65020,357,175
Stokesdale town,160,3765040,37,65040,5924,2244
Stoneville town,160,3765100,37,65100,1308,614
Stonewall town,160,3765120,37,65120,214,115
Stony Point CDP,160,3765260,37,65260,1146,558
Stovall town,160,3765320,37,65320,324,166
Sugar Mountain village,160,3765530,37,65530,371,1563
Summerfield town,160,3765580,37,65580,10951,4014
Sunbury CDP,160,3765700,37,65700,276,147
Sunset Beach town,160,3765900,37,65900,4175,5066
Surf City town,160,3766040,37,66040,3867,4145
Swannanoa CDP,160,3766280,37,66280,5021,2065
Swan Quarter CDP,160,3766340,37,66340,275,182
Swansboro town,160,3766360,37,66360,3744,1821
Swepsonville town,160,3766460,37,66460,2445,975
Sylva town,160,3766500,37,66500,2578,1213
Tabor City town,160,3766520,37,66520,3781,1232
Tarboro town,160,3766700,37,66700,10721,5058
Tar Heel town,160,3766740,37,66740,90,53
Taylorsville town,160,3766960,37,66960,2320,1110
Taylortown town,160,3766980,37,66980,634,313
Teachey town,160,3767000,37,67000,448,197
Thomasville city,160,3767420,37,67420,27183,11883
Toast CDP,160,3767700,37,67700,1423,691
Tobaccoville village,160,3767720,37,67720,2578,1157
Topsail Beach town,160,3768040,37,68040,461,1359
Trenton town,160,3768320,37,68320,238,114
Trent Woods town,160,3768340,37,68340,4074,1843
Trinity city,160,3768400,37,68400,7006,3032
Troutman town,160,3768500,37,68500,3698,1460
Troy town,160,3768520,37,68520,2850,1204
Tryon town,160,3768580,37,68580,1562,960
Turkey town,160,3768740,37,68740,213,94
Tyro CDP,160,3769020,37,69020,3753,1586
Unionville town,160,3769260,37,69260,6643,2508
Valdese town,160,3769520,37,69520,4689,2135
Valle Crucis CDP,160,3769600,37,69600,436,315
Valley Hill CDP,160,3769640,37,69640,2207,1185
Vanceboro town,160,3769680,37,69680,869,426
Vandemere town,160,3769720,37,69720,246,136
Vander CDP,160,3769740,37,69740,1388,620
Vann Crossroads CDP,160,3769755,37,69755,306,134
Varnamtown town,160,3769795,37,69795,525,274
Vass town,160,3769840,37,69840,952,411
Waco town,160,3770320,37,70320,310,133
Wade town,160,3770340,37,70340,638,310
Wadesboro town,160,3770380,37,70380,5008,2368
Wagram town,160,3770480,37,70480,615,320
Wake Forest town,160,3770540,37,70540,47601,17828
Wakulla CDP,160,3770580,37,70580,112,49
Walkertown town,160,3770660,37,70660,5692,2598
Wallace town,160,3770720,37,70720,3413,1597
Wallburg town,160,3770740,37,70740,3051,1245
Walnut Cove town,160,3770780,37,70780,1586,769
Walnut Creek village,160,3770820,37,70820,1084,451
Walstonburg town,160,3770860,37,70860,193,107
Wanchese CDP,160,3770920,37,70920,1522,704
Warrenton town,160,3771100,37,71100,851,528
Warsaw town,160,3771160,37,71160,2733,1394
Washington city,160,3771220,37,71220,9875,5023
Washington Park town,160,3771240,37,71240,392,216
Watha town,160,3771320,37,71320,181,86
Waves CDP,160,3771440,37,71440,172,362
Waxhaw town,160,3771460,37,71460,20534,6410
Waynesville town,160,3771500,37,71500,10140,5525
Weaverville town,160,3771560,37,71560,4567,2354
Webster town,160,3771600,37,71600,372,184
Weddington town,160,3771680,37,71680,13181,4297
Welcome CDP,160,3771760,37,71760,4131,1810
Weldon town,160,3771780,37,71780,1444,732
Wendell town,160,3771860,37,71860,9793,3868
Wentworth town,160,3771900,37,71900,2662,1113
Wesley Chapel village,160,3771940,37,71940,8681,2887
West Canton CDP,160,3772150,37,72150,1265,586
West Jefferson town,160,3772540,37,72540,1279,721
West Marion CDP,160,3772600,37,72600,1226,568
Westport CDP,160,3772755,37,72755,5705,2293
Whispering Pines village,160,3773140,37,73140,4987,1858
Whitakers town,160,3773160,37,73160,627,354
White Lake town,160,3773300,37,73300,843,1146
White Oak CDP,160,3773320,37,73320,346,147
White Plains CDP,160,3773460,37,73460,1025,492
Whiteville city,160,3773660,37,73660,4766,2425
Whitsett town,160,3773760,37,73760,584,271
Whittier CDP,160,3773780,37,73780,25,16
Wilkesboro town,160,3774020,37,74020,3687,1685
Williamston town,160,3774220,37,74220,5248,2671
Wilmington city,160,3774440,37,74440,115451,59484
Wilson city,160,3774540,37,74540,47851,22504
Wilson's Mills town,160,3774580,37,74580,2534,958
Windsor town,160,3774680,37,74680,3582,1157
Winfall town,160,3774720,37,74720,555,272
Wingate town,160,3774760,37,74760,4055,1013
Winston-Salem city,160,3775000,37,75000,249545,112140
Winterville town,160,3775060,37,75060,10462,4166
Winton town,160,3775080,37,75080,629,336
Woodfin town,160,3775280,37,75280,7936,3689
Woodland town,160,3775340,37,75340,557,320
Woodlawn CDP,160,3775375,37,75375,912,382
Wrightsboro CDP,160,3775780,37,75780,5526,2348
Wrightsville Beach town,160,3775820,37,75820,2473,2819
Yadkin College CDP,160,3775880,37,75880,377,183
Yadkinville town,160,3775960,37,75960,2995,1203
Yanceyville town,160,3776000,37,76000,1937,744
Youngsville town,160,3776200,37,76200,2016,903
Zebulon town,160,3776220,37,76220,6903,2682
